Fecha;Total
01/01/1971;3002401
01/07/1971;3042951
01/01/1972;3087382
01/07/1972;3126577
01/01/1973;3175484
01/07/1973;3208855
01/01/1974;3255213
01/07/1974;3298507
01/01/1975;3342025
01/07/1975;3378753
01/01/1976;3427756
01/07/1976;3472488
01/01/1977;3532354
01/07/1977;3570875
01/01/1978;3624607
01/07/1978;3671434
01/01/1979;3725417
01/07/1979;3773008
01/01/1980;3826191
01/07/1980;3878150
01/01/1981;3929917
01/07/1981;3965075
01/01/1982;4017333
01/07/1982;4057388
01/01/1983;4097509
01/07/1983;4120379
01/01/1984;4163465
01/07/1984;4198917
01/01/1985;4245439
01/07/1985;4273149
01/01/1986;4309405
01/07/1986;4357342
01/01/1987;4422855
01/07/1987;4484247
01/01/1988;4550316
01/07/1988;4620535
01/01/1989;4692045
01/07/1989;4755030
01/01/1990;4826834
01/07/1990;4890421
01/01/1991;4961389
01/07/1991;5023068
01/01/1992;5094071
01/07/1992;5163017
01/01/1993;5242993
01/07/1993;5303866
01/01/1994;5374158
01/07/1994;5447722
01/01/1995;5527305
01/07/1995;5596554
01/01/1996;5671396
01/07/1996;5747317
01/01/1997;5829713
01/07/1997;5896872
01/01/1998;5976954
01/07/1998;6046616
01/01/1999;6128824
01/07/1999;6189280
01/01/2000;6272661
01/07/2000;6331691
01/01/2001;6409030
01/07/2001;6475959
01/01/2002;6552333
01/07/2002;6620222
01/01/2003;6707612
01/07/2003;6755939
01/01/2004;6804970
01/07/2004;6833900
01/01/2005;6870519
01/07/2005;6857329
01/01/2006;6877575
01/07/2006;6958492
01/01/2007;7045691
01/07/2007;7075208
01/01/2008;7115358
01/07/2008;7156681
01/01/2009;7207536
01/07/2009;7274507
01/01/2010;7355363
01/07/2010;7427471
01/01/2011;7507262
01/07/2011;7587827
01/01/2012;7674795
01/07/2012;7717368
01/01/2013;7790129
01/07/2013;7853288
01/01/2014;7927156
01/07/2014;8010569
01/01/2015;8104758
01/07/2015;8153989
01/01/2016;8227170
01/07/2016;8281550
01/01/2017;8346213
01/07/2017;8388280
01/01/2018;8453349
01/07/2018;8509159
01/01/2019;8598125
01/07/2019;8669825
01/01/2020;8759989
01/07/2020;8782735
01/01/2021;8840784
01/07/2021;8905694
