Fecha;Total
01/01/1971;21017614
01/07/1971;21108668
01/01/1972;21202298
01/07/1972;21300704
01/01/1973;21403962
01/07/1973;21513652
01/01/1974;21629402
01/07/1974;21743452
01/01/1975;21858044
01/07/1975;21973084
01/01/1976;22089562
01/07/1976;22202038
01/01/1977;22318244
01/07/1977;22434634
01/01/1978;22554390
01/07/1978;22673286
01/01/1979;22794102
01/07/1979;22926180
01/01/1980;23060360
01/07/1980;23206438
01/01/1981;23353284
01/07/1981;23491080
01/01/1982;23630316
01/07/1982;23775392
01/01/1983;23919116
01/07/1983;24057444
01/01/1984;24197072
01/07/1984;24320192
01/01/1985;24444624
01/07/1985;24570272
01/01/1986;24696576
01/07/1986;24801812
01/01/1987;24908524
01/07/1987;25008644
01/01/1988;25109374
01/07/1988;25202372
01/01/1989;25296020
01/07/1989;25387158
01/01/1990;25479364
01/07/1990;25571032
01/01/1991;25663566
01/07/1991;25797004
01/01/1992;25953700
01/07/1992;26102666
01/01/1993;26255888
01/07/1993;26400728
01/01/1994;26549360
01/07/1994;26681944
01/01/1995;26817476
01/07/1995;26936516
01/01/1996;27058166
01/07/1996;27157146
01/01/1997;27259988
01/07/1997;27352426
01/01/1998;27449184
01/07/1998;27523640
01/01/1999;27600942
01/07/1999;27659588
01/01/2000;27721212
01/07/2000;27782152
01/01/2001;27845560
01/07/2001;27899618
01/01/2002;28080652
01/07/2002;28361388
01/01/2003;28622734
01/07/2003;28885516
01/01/2004;29134190
01/07/2004;29378360
01/01/2005;29720572
01/07/2005;30051956
01/01/2006;30312372
01/07/2006;30518064
01/01/2007;30773340
01/07/2007;31120290
01/01/2008;31421940
01/07/2008;31623982
01/01/2009;31756600
01/07/2009;31776434
01/01/2010;31771596
01/07/2010;31746592
01/01/2011;31723554
01/07/2011;31684642
01/01/2012;31641000
01/07/2012;31539132
01/01/2013;31417548
01/07/2013;31240922
01/01/2014;31091054
01/07/2014;30961244
01/01/2015;30855392
01/07/2015;30782288
01/01/2016;30735996
01/07/2016;30710694
01/01/2017;30721456
01/07/2017;30708394
01/01/2018;30767352
01/07/2018;30807524
01/01/2019;30928650
01/07/2019;31053952
01/01/2020;31202808
01/07/2020;31256540
01/01/2021;31299828
01/07/2021;31250224
01/01/2022;31313064
