Periodo;Total;
01/07/1976;50,15;
01/10/1976;49,65;
01/01/1977;49,29;
01/04/1977;48,97;
01/07/1977;48,85;
01/10/1977;48,73;
01/01/1978;48,14;
01/04/1978;47,68;
01/07/1978;47,52;
01/10/1978;47,12;
01/01/1979;46,82;
01/04/1979;46,38;
01/07/1979;46,35;
01/10/1979;45,90;
01/01/1980;45,18;
01/04/1980;44,56;
01/07/1980;44,34;
01/10/1980;43,83;
01/01/1981;43,17;
01/04/1981;42,78;
01/07/1981;42,69;
01/10/1981;42,31;
01/01/1982;41,94;
01/04/1982;41,84;
01/07/1982;41,79;
01/10/1982;41,53;
01/01/1983;41,01;
01/04/1983;41,08;
01/07/1983;41,23;
01/10/1983;40,81;
01/01/1984;39,79;
01/04/1984;39,50;
01/07/1984;39,46;
01/10/1984;38,96;
01/01/1985;38,63;
01/04/1985;38,36;
01/07/1985;38,53;
01/10/1985;38,49;
01/01/1986;38,40;
01/04/1986;38,65;
01/07/1986;38,96;
01/10/1986;39,10;
01/01/1987;39,05;
01/04/1987;39,95;
01/07/1987;40,57;
01/10/1987;40,78;
01/01/1988;40,66;
01/04/1988;40,72;
01/07/1988;41,29;
01/10/1988;41,33;
01/01/1989;41,32;
01/04/1989;41,73;
01/07/1989;42,33;
01/10/1989;42,16;
01/01/1990;42,28;
01/04/1990;42,45;
01/07/1990;42,80;
01/10/1990;42,77;
01/01/1991;42,60;
01/04/1991;42,63;
01/07/1991;42,70;
01/10/1991;42,25;
01/01/1992;41,81;
01/04/1992;41,65;
01/07/1992;41,48;
01/10/1992;40,57;
01/01/1993;39,55;
01/04/1993;39,45;
01/07/1993;39,36;
01/10/1993;38,90;
01/01/1994;38,44;
01/04/1994;38,66;
01/07/1994;38,86;
01/10/1994;38,77;
01/01/1995;38,94;
01/04/1995;39,28;
01/07/1995;39,53;
01/10/1995;39,40;
01/01/1996;39,38;
01/04/1996;39,75;
01/07/1996;40,31;
01/10/1996;40,35;
01/01/1997;40,41;
01/04/1997;40,79;
01/07/1997;41,22;
01/10/1997;41,40;
01/01/1998;41,61;
01/04/1998;42,07;
01/07/1998;42,69;
01/10/1998;42,81;
01/01/1999;43,32;
01/04/1999;44,12;
01/07/1999;44,68;
01/10/1999;44,90;
01/01/2000;45,25;
01/04/2000;46,04;
01/07/2000;46,60;
01/10/2000;46,74;
01/01/2001;46,82;
01/04/2001;47,27;
01/07/2001;47,75;
01/10/2001;47,74;
01/01/2002;47,82;
01/04/2002;48,40;
01/07/2002;48,61;
01/10/2002;48,57;
01/01/2003;48,65;
01/04/2003;49,37;
01/07/2003;49,80;
01/10/2003;49,86;
01/01/2004;49,77;
01/04/2004;50,28;
01/07/2004;50,82;
01/10/2004;51,10;
01/01/2005;51,54;
01/04/2005;52,47;
01/07/2005;52,99;
01/10/2005;53,02;
01/01/2006;53,03;
01/04/2006;53,68;
01/07/2006;53,99;
01/10/2006;54,01;
01/01/2007;53,94;
01/04/2007;54,53;
01/07/2007;54,73;
01/10/2007;54,38;
01/01/2008;53,94;
01/04/2008;53,85;
01/07/2008;53,47;
01/10/2008;52,03;
01/01/2009;49,97;
01/04/2009;49,58;
01/07/2009;49,39;
01/10/2009;48,80;
01/01/2010;48,17;
01/04/2010;48,40;
01/07/2010;48,54;
01/10/2010;48,13;
01/01/2011;47,48;
01/04/2011;47,96;
01/07/2011;47,58;
01/10/2011;46,69;
01/01/2012;45,72;
01/04/2012;45,74;
01/07/2012;45,54;
01/10/2012;44,71;
01/01/2013;43,97;
01/04/2013;44,36;
01/07/2013;44,64;
01/10/2013;44,46;
01/01/2014;44,05;
01/04/2014;45,04;
01/07/2014;45,44;
01/10/2014;45,61;
01/01/2015;45,32;
01/04/2015;46,41;
01/07/2015;46,90;
01/10/2015;47,01;
01/01/2016;46,84;
01/04/2016;47,53;
01/07/2016;48,07;
01/10/2016;47,97;
01/01/2017;47,76;
01/04/2017;48,70;
01/07/2017;49,27;
01/10/2017;49,07;
01/01/2018;48,67;
01/04/2018;49,81;
01/07/2018;50,18;
01/10/2018;50,14;
01/01/2019;49,78;
01/04/2019;50,51;
01/07/2019;50,54;
01/10/2019;50,64;
01/01/2020;49,80;
01/04/2020;47,03;
01/07/2020;48,43;
01/10/2020;48,81;
01/01/2021;48,47;
01/04/2021;49,63;
01/07/2021;50,52;
01/10/2021;50,83;
01/01/2022;50,51;
